date,year,month,county,rainfall_mm
2011-03-01,2011,3,Baringo,44.49127167432736
2011-04-01,2011,4,Baringo,22.347274115146735
2011-05-01,2011,5,Baringo,42.602211509606775
2011-06-01,2011,6,Baringo,49.817656287168845
2011-07-01,2011,7,Baringo,64.38950137602977
2011-08-01,2011,8,Baringo,86.13759528918143
2011-09-01,2011,9,Baringo,39.762219526828865
2011-10-01,2011,10,Baringo,40.09901949717448
2011-11-01,2011,11,Baringo,81.64407802728506
2011-12-01,2011,12,Baringo,23.920133681175038
2012-01-01,2012,1,Baringo,2.8935292072785206
2012-02-01,2012,2,Baringo,5.327030346943782
2012-03-01,2012,3,Baringo,14.081751097165622
2012-04-01,2012,4,Baringo,101.35638544131548
2012-05-01,2012,5,Baringo,129.98327556512294
2012-06-01,2012,6,Baringo,42.04689606886644
2012-07-01,2012,7,Baringo,75.34197677221054
2012-08-01,2012,8,Baringo,60.06760616791554
2012-09-01,2012,9,Baringo,45.822048940414035
2012-10-01,2012,10,Baringo,50.15294410769756
2012-11-01,2012,11,Baringo,30.222791067759196
2012-12-01,2012,12,Baringo,36.254446014991174
2013-01-01,2013,1,Baringo,14.780584964996729
2013-02-01,2013,2,Baringo,4.394737563377771
2013-03-01,2013,3,Baringo,51.117894412309695
2013-04-01,2013,4,Baringo,106.8897649031419
2013-05-01,2013,5,Baringo,64.31608606974284
2013-06-01,2013,6,Baringo,47.53200049278064
2013-07-01,2013,7,Baringo,74.51242510966766
2013-08-01,2013,8,Baringo,67.41635972047463
2013-09-01,2013,9,Baringo,39.362989990527815
2013-10-01,2013,10,Baringo,29.968073787139012
2013-11-01,2013,11,Baringo,37.02986197655017
2013-12-01,2013,12,Baringo,38.16089571683835
2014-01-01,2014,1,Baringo,6.267863514484503
2014-02-01,2014,2,Baringo,18.389332014475112
2014-03-01,2014,3,Baringo,37.64174151787391
2014-04-01,2014,4,Baringo,18.024025435325427
2014-05-01,2014,5,Baringo,36.10725090320294
2014-06-01,2014,6,Baringo,30.75471092615372
2014-07-01,2014,7,Baringo,41.941851464296
2014-08-01,2014,8,Baringo,65.35725139715733
2014-09-01,2014,9,Baringo,21.410100291325495
2014-10-01,2014,10,Baringo,43.059367028566506
2014-11-01,2014,11,Baringo,32.28141336196508
2014-12-01,2014,12,Baringo,18.622929996099227
2015-01-01,2015,1,Baringo,3.3578303349323764
2015-02-01,2015,2,Baringo,7.200539840796055
2015-03-01,2015,3,Baringo,8.862436733490382
2015-04-01,2015,4,Baringo,72.24276515276004
2015-05-01,2015,5,Baringo,45.288837758088725
2015-06-01,2015,6,Baringo,41.356561201046674
2015-07-01,2015,7,Baringo,35.29669259878305
2015-08-01,2015,8,Baringo,17.13848896393409
2015-09-01,2015,9,Baringo,16.59154446797493
2015-10-01,2015,10,Baringo,32.44374672266153
2015-11-01,2015,11,Baringo,50.13553383044707
2015-12-01,2015,12,Baringo,32.34982251387376
2016-01-01,2016,1,Baringo,20.724163050529285
2016-02-01,2016,2,Baringo,5.3860773349419615
2016-03-01,2016,3,Baringo,20.381845907064584
2016-04-01,2016,4,Baringo,79.16440139183631
2016-05-01,2016,5,Baringo,83.59340769938933
2016-06-01,2016,6,Baringo,38.47992065625313
2016-07-01,2016,7,Baringo,54.653445674211554
2016-08-01,2016,8,Baringo,33.0938928212875
2016-09-01,2016,9,Baringo,18.6328663336925
2016-10-01,2016,10,Baringo,24.780780598597648
2016-11-01,2016,11,Baringo,22.369346729914348
2016-12-01,2016,12,Baringo,6.238373766189967
2017-01-01,2017,1,Baringo,10.519307574247703
2017-02-01,2017,2,Baringo,17.431024605188615
2017-03-01,2017,3,Baringo,14.289325183477157
2017-04-01,2017,4,Baringo,24.690786369030292
2017-05-01,2017,5,Baringo,50.693734985742815
2017-06-01,2017,6,Baringo,23.11242395792252
2017-07-01,2017,7,Baringo,109.49999437576685
2017-08-01,2017,8,Baringo,70.21099086174598
2017-09-01,2017,9,Baringo,45.78155984634008
2017-10-01,2017,10,Baringo,57.73491341425822
2017-11-01,2017,11,Baringo,41.652083509701946
2017-12-01,2017,12,Baringo,9.608593044525538
2018-01-01,2018,1,Baringo,3.991012591582078
2018-02-01,2018,2,Baringo,4.4508729366155775
2018-03-01,2018,3,Baringo,77.38774675222544
2018-04-01,2018,4,Baringo,133.72174827380059
2018-05-01,2018,5,Baringo,126.54063026232598
2018-06-01,2018,6,Baringo,96.12619322752342
2018-07-01,2018,7,Baringo,43.95815685956906
2018-08-01,2018,8,Baringo,44.476440537281526
