date,year,month,county,rainfall_mm,clim_mean,clim_sd,rain_anom,rain_3m_mm,rain_anom_3m
1986-01-01,1986,1,Marsabit,2.752137452781405,7.412837777982669,6.03866144059599,-0.7718101720140933,23.80602728359735,-0.911522328116338
1986-02-01,1986,2,Marsabit,2.801900882137903,6.706810904678786,5.673996073827667,-0.68821161871313,13.017259953230036,-0.9516616775613025
1986-03-01,1986,3,Marsabit,23.41030508428983,23.203591365325146,12.97433259152085,0.015932512713584965,28.96434341920914,-0.4859910954646166
1986-04-01,1986,4,Marsabit,59.25178005818521,54.51946926993243,25.650771164570358,0.1844900006277081,85.46398602461295,0.030291450631723175
1986-05-01,1986,5,Marsabit,6.152497300166898,16.710665811542984,9.393937122555583,-1.1239343390988952,88.81458244264194,-0.16251821330626062
1986-06-01,1986,6,Marsabit,3.748740087790325,2.5968931762705103,1.2664059323482955,0.9095400472295213,69.15301744614243,-0.16860861502717892
1986-07-01,1986,7,Marsabit,3.245802334407004,4.124076502813582,1.7701647547629409,-0.49615391225219374,13.14703972236422,-1.049084458754215
1986-08-01,1986,8,Marsabit,2.214183039079499,2.753108869421634,0.8660859968998192,-0.6222544092286864,9.20872546127682,-0.08765509826028756
1986-09-01,1986,9,Marsabit,1.054026161902596,1.4370297863708184,0.42150869473642155,-0.9086494045104404,6.514011535389092,-0.7490266316132514
1986-10-01,1986,10,Marsabit,14.281800255011746,19.877977035264493,12.924539996488503,-0.43298846858558876,17.550009455993834,-0.4932636369744898
1986-11-01,1986,11,Marsabit,23.09546676771512,26.251281912796717,18.121614955305276,-0.17414646282160973,38.43129318462945,-0.30844136722058507
1986-12-01,1986,12,Marsabit,19.763754084572863,17.5191038726857,14.35324411564074,0.15638626318918142,57.14102110729972,-0.17083131131994178
1987-01-01,1987,1,Marsabit,8.849335705180119,7.412837777982669,6.03866144059599,0.23788350138994932,51.70855655746809,-0.018366079489669437
1987-02-01,1987,2,Marsabit,4.076231988699921,6.706810904678786,5.673996073827667,-0.4636201509043839,32.6893217784529,0.022579673424415206
1987-03-01,1987,3,Marsabit,22.68821008115083,23.203591365325146,12.97433259152085,-0.03972314418015863,35.61377777503087,-0.09938912748711634
1987-04-01,1987,4,Marsabit,54.97830780327115,54.51946926993243,25.650771164570358,0.017887904047597714,81.74274987312191,-0.07871160738764915
1987-05-01,1987,5,Marsabit,29.090189128409296,16.710665811542984,9.393937122555583,1.3178205426925949,106.75670701283128,0.35640816158420374
1987-06-01,1987,6,Marsabit,5.110998306100544,2.5968931762705103,1.2664059323482955,1.985228484494013,89.17949523778098,0.5538194709194844
1987-07-01,1987,7,Marsabit,3.317788115522778,4.124076502813582,1.7701647547629409,-0.4554877646961069,37.518975550032614,1.4369849680542446
